client_id,workspace_id,client_name
1,WS-001,Megaditta SpA
2,WS-002,GreenTech Innovations
3,WS-002,TechVision Labs
4,WS-001,QuickBite Inc
5,WS-001,Contabilità Industriale srl
6,WS-002,PixelPlay Entertainment
7,WS-003,MediCare Solutions
8,WS-001,Haute Couture Milano
9,WS-002,HomeAutomation Pro
10,WS-003,MediaWatch Analytics
11,WS-001,BioMarket Research
12,WS-001,DemocracyPulse
13,WS-002,FitLife Technologies
14,WS-003,FinanceFirst Bank
15,WS-003,WanderLust Travels
16,WS-002,EduTech Innovations
17,WS-001,Arabica Research Co
18,WS-002,DigitalTrends Lab
19,WS-001,EcoPackage Solutions
20,WS-003,DriveInsights
21,WS-003,PetCare Products Inc
22,WS-002,SecureNet Consulting
23,WS-001,Vini Italiani DOC
24,WS-002,PayFast Technologies
25,WS-003,GreenPower Initiative
26,WS-003,StyleOnline Retail
27,WS-003,HealthPharm Industries
28,WS-002,NextGen Gaming
29,WS-003,SuperMart Chain
30,,SafeGuard Insurance
31,WS-001,WorkLife Balance Corp
32,WS-003,BeautyLab International
33,WS-001,FlexiWork Solutions
34,WS-003,BabyFirst Corp
35,WS-001,HopMaster Breweries
36,WS-002,BotTech AI
37,WS-001,MetroCity Authority
38,WS-003,GlowUp Cosmetics
39,WS-002,CryptoInsight Research
40,WS-002,KidLearn Technologies
41,WS-001,FoodRunner Express
42,WS-003,SilverTech Health
43,WS-002,GreenMobility Co
44,WS-002,AudioWave Media
45,WS-001,CasaBella Design
46,WS-003,PlantBased Foods Inc
47,WS-002,NeoBank Digital
48,WS-001,InclusiveWork NGO
49,WS-003,BetAnalytics Ltd
50,WS-002,WristTech Devices
