interaction_id,workspace_id,panelist_id,project_id,agent_id_hash,issue_type,interaction_date,channel,issue_description,resolution,resolved,resolution_time_hours,satisfaction_score
INT-20240115-001,WS-001,10847,PRJ-001,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Technical Support,2024-01-15T09:23:45+00:00,Email,"Candidato non riesce ad accedere al sondaggio, riceve errore 404",Reset password e invio nuovo link. Issue risolta.,True,2.5,5
INT-20240118-002,WS-001,10923,PRJ-001,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,Payment Inquiry,2024-01-18T14:30:00+00:00,Chat,Domanda su quando verrà accreditato l'incentivo per il sondaggio completato,Spiegato che gli incentivi vengono processati entro 15 giorni lavorativi,True,0.25,4
INT-20240120-003,WS-001,10847,PRJ-001,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,General Question,2024-01-20T16:45:12+00:00,Phone,Il panelista chiede informazioni sulla privacy e come vengono utilizzati i suoi dati,Fornita informativa privacy e spiegato processo di anonimizzazione,True,0.5,5
INT-20240125-004,WS-002,11204,PRJ-003,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Complaint,2024-01-25T10:15:33+00:00,Email,"Sondaggio troppo lungo, il panelista ha abbandonato dopo 30 minuti","Scuse per l'inconveniente, offerto bonus compensativo",True,4.0,3
INT-20240128-005,WS-001,11456,PRJ-008,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,Technical Support,2024-01-28T11:20:00+00:00,Chat,"Video del focus group non si carica, problema di compatibilità browser",Suggerito di usare Chrome invece di Internet Explorer. Problema risolto.,True,1.0,4
INT-20240201-006,WS-001,11589,,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Profile Update,2024-02-01T15:00:00+00:00,Phone,Richiesta di aggiornamento indirizzo email e numero di telefono,Profilo aggiornato con successo nel sistema,True,0.5,
INT-20240205-007,WS-002,10923,,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Survey Invitation,2024-02-05T09:30:22+00:00,Email,Panelista segnala di non ricevere più inviti ai sondaggi,Verificato profilo: era stato erroneamente disattivato. Riattivato.,True,3.0,5
INT-20240208-008,WS-002,11789,PRJ-013,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,Technical Support,2024-02-08T13:45:00+00:00,Chat,Errore durante il caricamento di foto per il task del sondaggio qualitativo,Problema di dimensione file. Spiegato come ridimensionare. Issue risolta.,True,1.5,4
INT-20240212-009,WS-001,12003,,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Payment Inquiry,2024-02-12T10:00:00+00:00,Phone,Domanda su modalità di pagamento incentivi: preferisce bonifico invece di voucher,Aggiornata preferenza di pagamento nel profilo,True,0.75,5
INT-20240215-010,WS-002,10847,PRJ-018,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Complaint,2024-02-15T14:20:11+00:00,Email,Panelista lamenta di essere stato escluso da un sondaggio dopo le domande di screening,Spiegato criterio di eligibilità. Non può partecipare a questo specifico progetto.,True,2.0,2
INT-20240220-011,WS-001,12156,,ag_0dba1e716d2f3b7ab04e2dee7acd3f09e06f0aa542eb6c700cf908a134b55bd8,General Question,2024-02-20T16:30:00+00:00,Chat,Richiesta informazioni su come funziona il programma fedeltà e i punti accumulati,Spiegato sistema punti e come riscattarli. Inviato link al regolamento.,True,0.5,4
INT-20240225-012,WS-002,11204,PRJ-024,ag_af41bdd03c566beed323cdc97a97c96b754c0faa9d50101e6d83009fa39e7bd6,Technical Support,2024-02-25T11:15:00+00:00,Phone,"Impossibile completare sondaggio mobile, app si blocca all'ultima domanda",Bug confermato e segnalato al team tecnico. Compenso comunque erogato.,True,5.0,4
INT-20240228-013,WS-001,12389,,ag_4b1b61b8a92bc4f6675b3f25fedbb61c25287ef6563abfa731556e237f85b46d,Profile Update,2024-02-28T09:00:00+00:00,Email,Richiesta di rimozione dal panel per mancanza di tempo,Profilo sospeso come richiesto. Possibilità di riattivazione in futuro.,True,1.0,
