project_id,workspace_id,client_id,methodology_id,project_name,research_topic,start_date,end_date,sample_size,budget,country_code,status,notes
PRJ-001,WS-001,1,1,Megaditta Consumer Sentiment Q4,Brand Awareness,2024-01-15,2024-02-28,1500,15000.0,IT,Completed,Target: 18-65 adults
PRJ-002,WS-002,2,2,Electric Vehicle Adoption Study,Sustainability,2024-03-01,2024-04-15,800,22000.0,DE,In Progress,Phone interviews
PRJ-003,WS-002,3,3,Smartphone Usage Patterns,Technology,2024-03-01,2024-05-15,2000,35000.0,GB,Completed,CAWI + Focus Groups
PRJ-004,WS-001,4,1,Food Delivery Preferences,Consumer Behavior,2024-02-10,2024-03-20,1200,18000.0,FR,Completed,Urban areas only
PRJ-005,WS-001,5,1,Workplace Satisfaction Survey,HR & Employee Engagement,2024-04-01,,950,12000.0,IT,In Progress,Expected completion June 2024
PRJ-006,WS-002,6,4,Gaming Habits Youth Study,Entertainment,2024-01-20,2024-02-25,1800,28000.0,US,Completed,Ages 13-24
PRJ-007,WS-003,7,2,Healthcare Digital Transformation,Healthcare,2024-03-05,,600,0.0,IT,On Hold,Budget pending approval
PRJ-008,WS-001,8,5,Luxury Fashion Brand Perception,Luxury & Fashion,2024-02-15,2024-03-10,45,8500.0,IT,Completed,12 sessions conducted
PRJ-009,WS-002,9,1,Smart Home Adoption,Technology,2024-03-15,2024-05-01,1400,19000.0,ES,In Progress,
PRJ-010,WS-003,10,3,Streaming Services Competition,Media & Entertainment,2024-03-10,2024-05-30,2500,42000.0,GB,In Progress,CAWI + Depth Interviews
PRJ-011,WS-001,11,1,Organic Food Consumption,Food & Beverage,2024-01-25,2024-03-05,1100,16000.0,IT,Completed,Focus on Milan area
PRJ-012,WS-001,12,2,Political Opinion Tracker,Politics & Society,2024-04-10,2024-04-20,3000,55000.0,IT,Completed,Pre-election study
PRJ-013,WS-002,13,6,Fitness App User Experience,Health & Wellness,2024-02-15,2024-04-30,500,14000.0,US,In Progress,3-month longitudinal
PRJ-014,WS-003,14,1,Banking Services Satisfaction,Financial Services,2024-03-01,2024-03-25,2200,31000.0,DE,Completed,Customer panel
PRJ-015,WS-003,15,3,Travel Intentions Post-Pandemic,Tourism & Travel,2024-02-20,2024-04-10,1600,24000.0,FR,Completed,
PRJ-016,WS-002,16,1,E-Learning Platform Evaluation,Education,2024-04-01,,1000,17000.0,GB,In Progress,Students & Teachers
PRJ-017,WS-001,17,7,Coffee Consumption Habits,Food & Beverage,2024-03-05,2024-03-20,300,9500.0,IT,Completed,In-store intercepts
PRJ-018,WS-002,18,4,Social Media Influence Study,Digital Marketing,2024-01-30,2024-03-15,2800,38000.0,US,Completed,18-35 demographics
PRJ-019,WS-001,19,1,Sustainable Packaging Attitudes,Sustainability,2024-04-05,2024-05-20,1300,20000.0,IT,In Progress,
PRJ-020,WS-003,20,3,Automotive Purchase Journey,Automotive,2024-03-10,,1500,45000.0,DE,In Progress,CAWI + Dealership visits
PRJ-021,WS-003,21,1,Pet Owner Behavior Analysis,Pets & Animals,2024-02-28,2024-04-05,1750,21000.0,GB,Completed,Dog & cat owners
PRJ-022,WS-002,22,2,Cybersecurity Awareness,Technology & Security,2024-03-20,2024-04-30,900,26000.0,US,In Progress,
PRJ-023,WS-001,23,7,Wine Preferences Regional,Food & Beverage,2024-02-15,2024-03-20,400,11000.0,IT,Completed,Tuscany & Piedmont
PRJ-024,WS-002,24,1,Mobile Payment Adoption,FinTech,2024-03-10,2024-04-25,1900,29000.0,ES,In Progress,
PRJ-025,WS-003,25,3,Renewable Energy Perception,Energy & Environment,2024-04-01,2024-05-30,2100,36000.0,DE,In Progress,Homeowners survey
PRJ-026,WS-003,26,6,Fashion E-commerce UX,E-commerce,2024-02-12,2024-03-28,650,13500.0,FR,Completed,Mobile app testing
PRJ-027,WS-003,27,2,Pharmaceutical Brand Tracking,Healthcare,2024-04-01,,1200,33000.0,IT,In Progress,Quarterly tracker
PRJ-028,WS-002,28,1,Gaming Console Preferences,Gaming & Entertainment,2024-03-08,2024-04-18,2300,40000.0,US,Completed,Core gamers 18-40
PRJ-029,WS-003,29,3,Grocery Shopping Behavior,Retail,2024-02-18,2024-04-08,1400,25000.0,GB,Completed,In-store + online
PRJ-030,,30,1,Insurance Customer Satisfaction,Financial Services,2024-03-15,2024-04-30,1600,27000.0,DE,In Progress,Auto & home insurance
PRJ-031,WS-001,31,1,Employee Wellbeing Tracker,HR & Employee Engagement,2024-05-10,,700,,IT,In Progress,Budget error - needs review
PRJ-032,WS-003,32,2,Cosmetics Brand Awareness,Beauty & Personal Care,2024-06-01,,1100,23000.0,FR,Completed,End date before start date
PRJ-033,WS-001,33,1,Remote Work Productivity,HR & Employee Engagement,2024-04-15,2024-06-01,1800,22000.0,IT,In Progress,Knowledge workers only
PRJ-034,WS-003,34,3,Baby Products Safety Perception,Consumer Safety,2024-04-20,2024-06-15,900,19500.0,GB,In Progress,Parents 25-40
PRJ-035,WS-001,35,7,Craft Beer Market Analysis,Food & Beverage,2024-03-25,2024-04-20,250,7500.0,IT,Completed,Pub intercepts Milan & Rome
PRJ-036,WS-002,36,1,AI Chatbot User Satisfaction,Technology,2024-04-08,,2500,34000.0,US,In Progress,Post-interaction survey
PRJ-037,WS-001,37,2,Public Transport Satisfaction,Public Services,2024-02-05,2024-03-15,1200,20000.0,IT,Completed,Commuters survey
PRJ-038,WS-003,38,6,Skincare Routine Habits,Beauty & Personal Care,2024-03-12,2024-05-28,800,16000.0,FR,In Progress,Female 18-45
PRJ-039,WS-002,39,1,Cryptocurrency Attitudes,Financial Services,2024-04-20,2024-05-25,1700,28500.0,DE,In Progress,
PRJ-040,WS-002,40,3,Children Education Apps,Education,2024-03-15,2024-04-30,600,15000.0,GB,Completed,Ages 6-12 + parents
PRJ-041,WS-001,41,1,Restaurant Delivery Quality,Food & Beverage,2024-03-01,2024-04-10,2000,23000.0,ES,Completed,Post-delivery survey
PRJ-042,WS-003,42,2,Elderly Care Technology,Healthcare,2024-05-01,,450,18000.0,IT,In Progress,65+ age group
PRJ-043,WS-002,43,1,Electric Scooter Usage,Sustainability,2024-04-12,2024-05-20,1500,21000.0,DE,In Progress,Urban areas
PRJ-044,WS-002,44,4,Podcast Listening Habits,Media & Entertainment,2024-02-28,2024-04-15,3200,47000.0,US,Completed,Weekly listeners
PRJ-045,WS-001,45,3,Home Renovation Trends,Real Estate,2024-05-01,,1100,0.0,IT,On Hold,Budget TBD
PRJ-046,WS-003,46,1,Vegan Food Market Growth,Food & Beverage,2024-03-18,2024-04-28,1400,19000.0,GB,Completed,
PRJ-047,WS-002,47,1,Digital Banking Adoption Gen Z,FinTech,2024-04-25,2024-06-10,1900,32000.0,FR,In Progress,18-25 only
PRJ-048,WS-001,48,1,Workplace Diversity Perception,HR & Employee Engagement,2024-05-05,,850,14500.0,IT,In Progress,Anonymous survey
PRJ-049,WS-003,49,2,Sports Betting Behavior,Entertainment,2024-03-10,2024-04-05,700,16500.0,GB,Completed,Regulatory compliance focus
PRJ-050,WS-002,50,1,Smart Watch Feature Preferences,Technology,2024-02-28,2024-04-15,2600,38000.0,US,Completed,Health + fitness features
